JTUO01000010.1	NC_009656.1	98.032	2818378	2817313	1067	45024	46090	0.0	1853	1046
JTUO01000010.1	NC_009656.1	98.846	2814146	2813627	520	42059	42578	0.0	928	514
JTUO01000010.1	NC_009656.1	100.000	2717949	2717917	33	137844	137876	3.68e-07	62.1	33
JTUO01000010.1	NC_009656.1	100.000	5753123	5753091	33	170953	170985	3.68e-07	62.1	33
JTUO01000010.1	NC_009656.1	100.000	56253	56283	31	42007	42037	4.77e-06	58.4	31
JTUO01000010.1	NC_009656.1	100.000	2834532	2834562	31	42007	42037	4.77e-06	58.4	31
JTUO01000010.1	NC_009656.1	100.000	2889342	2889312	31	137846	137876	4.77e-06	58.4	31
JTUO01000100.1	NC_009656.1	100.000	5674245	5674214	32	1250	1281	6.21e-09	60.2	32
JTUO01000104.1	NC_009656.1	98.696	278272	277813	460	1027	1485	0.0	815	454
JTUO01000105.1	NC_009656.1	98.204	2824945	2824612	334	19265	19598	1.33e-165	584	328
JTUO01000105.1	NC_009656.1	100.000	2819327	2819293	35	16518	16552	2.14e-09	65.8	35
JTUO01000105.1	NC_009656.1	100.000	56285	56252	34	17419	17452	7.70e-09	63.9	34
JTUO01000105.1	NC_009656.1	100.000	2834564	2834531	34	17419	17452	7.70e-09	63.9	34
JTUO01000105.1	NC_009656.1	100.000	2813018	2813050	33	17421	17453	2.77e-08	62.1	33
JTUO01000105.1	NC_009656.1	100.000	2831144	2831176	33	17421	17453	2.77e-08	62.1	33
JTUO01000105.1	NC_009656.1	100.000	2829715	2829745	31	18565	18595	3.58e-07	58.4	31
JTUO01000108.1	NC_009656.1	98.661	2521061	2520390	672	330	1001	0.0	1192	663
JTUO01000108.1	NC_009656.1	100.000	2521358	2521060	299	1	299	1.81e-157	553	299
JTUO01000011.1	NC_009656.1	98.769	488635	494881	6253	88884	95135	0.0	11114	6176
JTUO01000011.1	NC_009656.1	100.000	5798868	5798839	30	7498	7527	6.07e-06	56.5	30
JTUO01000111.1	NC_009656.1	98.353	272960	273384	425	1	425	0.0	747	418
JTUO01000112.1	NC_009656.1	98.494	549397	552649	3253	1	3243	0.0	5742	3204
JTUO01000113.1	NC_009656.1	98.822	2847579	2848172	594	1	594	0.0	1059	587
JTUO01000113.1	NC_009656.1	98.007	6408174	6408775	602	1	602	0.0	1046	590
JTUO01000119.1	NC_009656.1	98.069	272717	272974	259	834	1092	2.68e-126	449	254
JTUO01000012.1	NC_009656.1	98.485	4150354	4150289	66	2246	2311	6.82e-24	117	65
JTUO01000012.1	NC_009656.1	100.000	6580599	6580569	31	95771	95801	4.19e-06	58.4	31
JTUO01000012.1	NC_009656.1	100.000	3725240	3725269	30	234277	234306	1.51e-05	56.5	30
JTUO01000120.1	NC_009656.1	99.240	139719	139981	263	1	263	1.46e-133	475	261
JTUO01000123.1	NC_009656.1	98.113	4176775	4176933	159	4392	4550	5.66e-74	278	156
JTUO01000128.1	NC_009656.1	98.589	3966692	3967329	638	330	967	0.0	1129	629
JTUO01000013.1	NC_009656.1	100.000	3927006	3926978	29	36912	36940	2.24e-05	54.7	29
JTUO01000014.1	NC_009656.1	98.788	2887230	2887559	330	154831	155160	7.89e-166	588	326
JTUO01000014.1	NC_009656.1	98.788	4369993	4369664	330	154831	155160	7.89e-166	588	326
JTUO01000014.1	NC_009656.1	98.788	4825286	4825615	330	154831	155160	7.89e-166	588	326
JTUO01000014.1	NC_009656.1	98.204	4563267	4562934	334	154827	155160	1.02e-164	584	328
JTUO01000014.1	NC_009656.1	98.485	2430416	2430087	330	154831	155160	3.67e-164	582	325
JTUO01000014.1	NC_009656.1	98.485	2538380	2538709	330	154831	155160	3.67e-164	582	325
JTUO01000014.1	NC_009656.1	98.187	4925395	4925725	331	154830	155160	4.75e-163	579	325
JTUO01000014.1	NC_009656.1	100.000	4728105	4728025	81	85111	85191	4.41e-34	150	81
JTUO01000014.1	NC_009656.1	100.000	4728291	4728212	80	85299	85378	1.59e-33	148	80
JTUO01000014.1	NC_009656.1	100.000	5325827	5325750	78	153996	154073	2.05e-32	145	78
