LLVQ01000001.1	NC_009656.1	100.000	1113452	1113485	34	503803	503836	2.53e-07	63.9	34
LLVQ01000001.1	NC_009656.1	100.000	1730768	1730800	33	91804	91836	9.08e-07	62.1	33
LLVQ01000001.1	NC_009656.1	100.000	1763197	1763165	33	440901	440933	9.08e-07	62.1	33
LLVQ01000001.1	NC_009656.1	100.000	6517407	6517439	33	189639	189671	9.08e-07	62.1	33
LLVQ01000001.1	NC_009656.1	100.000	1730800	1730770	31	200398	200428	1.18e-05	58.4	31
LLVQ01000001.1	NC_009656.1	100.000	1009486	1009457	30	190323	190352	4.23e-05	56.5	30
LLVQ01000001.1	NC_009656.1	100.000	5753120	5753091	30	238236	238265	4.23e-05	56.5	30
LLVQ01000001.1	NC_009656.1	100.000	1890531	1890503	29	35024	35052	1.52e-04	54.7	29
LLVQ01000001.1	NC_009656.1	100.000	5838963	5838935	29	108180	108208	1.52e-04	54.7	29
LLVQ01000002.1	NC_009656.1	98.225	1248860	1235116	13747	147606	161349	0.0	24029	13503
LLVQ01000002.1	NC_009656.1	100.000	377668	377639	30	170322	170351	1.66e-05	56.5	30
LLVQ01000002.1	NC_009656.1	100.000	857764	857792	29	139895	139923	5.96e-05	54.7	29
LLVQ01000004.1	NC_009656.1	99.387	139981	139493	489	154	642	0.0	887	486
LLVQ01000004.1	NC_009656.1	100.000	6259588	6259436	153	1	153	1.66e-76	283	153
LLVQ01000005.1	NC_009656.1	98.822	2848172	2847579	594	9	602	0.0	1059	587
LLVQ01000005.1	NC_009656.1	98.007	6408775	6408174	602	1	602	0.0	1046	590
LLVQ01000007.1	NC_009656.1	99.070	2813439	2813011	430	1	430	0.0	771	426
LLVQ01000007.1	NC_009656.1	99.059	55910	55486	425	1	425	0.0	763	421
LLVQ01000007.1	NC_009656.1	98.601	2831565	2831137	429	1	429	0.0	760	423
LLVQ01000007.1	NC_009656.1	100.000	56252	56283	32	391	422	2.79e-09	60.2	32
LLVQ01000007.1	NC_009656.1	100.000	2834531	2834562	32	391	422	2.79e-09	60.2	32
LLVQ01000007.1	NC_009656.1	100.000	2829715	2829745	31	392	422	1.00e-08	58.4	31
LLVQ01000011.1	NC_009656.1	99.387	139981	139493	489	2	490	0.0	887	486
LLVQ01000013.1	NC_009656.1	98.086	2077963	2078171	209	191174	191382	2.09e-98	364	205
LLVQ01000013.1	NC_009656.1	100.000	2078273	2078354	82	191293	191374	1.77e-34	152	82
